,center_freq,decl,file_type,md5sum,mjd,ra,size,target,telescope,url,utc,tstart
14,1407.53173828125,54.579,filterbank,35f2792af46533aff34f156d0ff925e6,58110.07325231482,53.2475,1757413780,DIAG_PSR_J0332+5434,GBT,http://blpd0.ssl.berkeley.edu/sample_data/raw_and_filterbank/blc04_guppi_58110_06329_DIAG_PSR_J0332+5434_0057.gpuspec.0001.fil,"Sat, 23 Dec 2017 01:45:29 GMT",58110.07325231482
15,1220.03173828125,54.579,filterbank,7c743573a23d7a4a65134ae9374937b2,58110.07325231482,53.2475,1757413780,DIAG_PSR_J0332+5434,GBT,http://blpd0.ssl.berkeley.edu/sample_data/raw_and_filterbank/blc05_guppi_58110_06329_DIAG_PSR_J0332+5434_0057.gpuspec.0001.fil,"Sat, 23 Dec 2017 01:45:29 GMT",58110.07325231482
16,1032.53173828125,54.579,filterbank,360c3f8eea7a85173f362565f69a0881,58110.07325231482,53.2475,1757413780,DIAG_PSR_J0332+5434,GBT,http://blpd0.ssl.berkeley.edu/sample_data/raw_and_filterbank/blc06_guppi_58110_06329_DIAG_PSR_J0332+5434_0057.gpuspec.0001.fil,"Sat, 23 Dec 2017 01:45:29 GMT",58110.07325231482
17,845.03173828125,54.579,filterbank,daf05b1c54660a7a820e0e09bd2c195e,58110.07325231482,53.2475,1757413780,DIAG_PSR_J0332+5434,GBT,http://blpd0.ssl.berkeley.edu/sample_data/raw_and_filterbank/blc07_guppi_58110_06329_DIAG_PSR_J0332+5434_0057.gpuspec.0001.fil,"Sat, 23 Dec 2017 01:45:29 GMT",58110.07325231482
18,1501.46341323846,54.579,filterbank,a674892dadd5122da3409255c4b9728b,58110.07325231482,53.2475,585105715,DIAG_PSR_J0332+5434,GBT,http://blpd0.ssl.berkeley.edu/sample_data/spliced_filterbank/spliced_blc0001020304050607_guppi_58110_06329_DIAG_PSR_J0332+5434_0057.gpuspec.0002.fil,"Sat, 23 Dec 2017 01:45:29 GMT",58110.07325231482
19,2157.71341323852,54.579,filterbank,71d0d5719edebdbda12087c56d3238cd,58110.07325231482,53.2475,73138580,DIAG_PSR_J0332+5434,GBT,http://blpd0.ssl.berkeley.edu/sample_data/raw_and_filterbank/blc00_guppi_58110_06329_DIAG_PSR_J0332+5434_0057.gpuspec.0002.fil,"Sat, 23 Dec 2017 01:45:29 GMT",58110.07325231482
20,1970.21341323852,54.579,filterbank,f7a9892baa8703425d8e7fe58e2adff3,58110.07325231482,53.2475,73138580,DIAG_PSR_J0332+5434,GBT,http://blpd0.ssl.berkeley.edu/sample_data/raw_and_filterbank/blc01_guppi_58110_06329_DIAG_PSR_J0332+5434_0057.gpuspec.0002.fil,"Sat, 23 Dec 2017 01:45:29 GMT",58110.07325231482
21,1782.71341323852,54.579,filterbank,81333cb46a19103345c2a2e6a7b45ea2,58110.07325231482,53.2475,73138580,DIAG_PSR_J0332+5434,GBT,http://blpd0.ssl.berkeley.edu/sample_data/raw_and_filterbank/blc02_guppi_58110_06329_DIAG_PSR_J0332+5434_0057.gpuspec.0002.fil,"Sat, 23 Dec 2017 01:45:29 GMT",58110.07325231482
22,1595.21341323852,54.579,filterbank,f6bc657887cdb34a70e659dfb8fcd591,58110.07325231482,53.2475,73138580,DIAG_PSR_J0332+5434,GBT,http://blpd0.ssl.berkeley.edu/sample_data/raw_and_filterbank/blc03_guppi_58110_06329_DIAG_PSR_J0332+5434_0057.gpuspec.0002.fil,"Sat, 23 Dec 2017 01:45:29 GMT",58110.07325231482
23,1407.71341323852,54.579,filterbank,4c117fe9299080e5f9fa43dc647c73d9,58110.07325231482,53.2475,73138580,DIAG_PSR_J0332+5434,GBT,http://blpd0.ssl.berkeley.edu/sample_data/raw_and_filterbank/blc04_guppi_58110_06329_DIAG_PSR_J0332+5434_0057.gpuspec.0002.fil,"Sat, 23 Dec 2017 01:45:29 GMT",58110.07325231482
