,Unnamed: 0,Unnamed: 0.1,az_start,data_type,fch1,foff,ibeam,machine_id,nbeams,nbits,nchans,nifs,rawdatafile,source_name,src_dej,src_raj,telescope_id,tsamp,tstart,za_start,fname
444,444,444,0.0,1,8438.78173828125,-0.3662109375,0.0,10,0.0,8,13312,1,,PSR_B0355+54,54d13m15.6s,3h58m53.568s,6,0.0003495253333333333,58803.08677083332,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58803_07497_PSR_B0355+54_0010.gpuspec.8.0001.fil
439,439,439,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,PSR_B0355+54,54d13m15.6s,3h58m53.568s,6,0.0003495253333333333,58803.08677083332,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58803_07497_PSR_B0355+54_0010.gpuspec.0001.fil
440,440,440,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,PSR_B0355+54,54d13m15.6s,3h58m53.568s,6,1.0737418239999998,58803.08677083332,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58803_07497_PSR_B0355+54_0010.gpuspec.0002.fil
425,425,425,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,PSR_B0355+54,54d13m15.6s,3h58m53.568s,6,18.253611008,58803.08677083332,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58803_07497_PSR_B0355+54_0010.gpuspec.0000.fil
549,549,549,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,PSR_B1929+10,10d59m32.28s,19h32m13.848s,6,0.0003495253333333333,58784.02509259259,0.0,spliced_blc40414243444546o7o0515253545556o7o061626364656667_guppi_58784_02168_PSR_B1929+10_0099.gpuspec.8.0001.fil
548,548,548,0.0,1,11251.463413238524,-0.00286102294921875,,20,,32,1310720,1,,PSR_B1929+10,10d59m32.28s,19h32m13.848s,6,1.0737418239999998,58784.02509259259,0.0,spliced_blc40414243444546o7o0515253545556o7o061626364656667_guppi_58784_02168_PSR_B1929+10_0099.gpuspec.0002.fil
547,547,547,0.0,1,11251.28173828125,-0.3662109375,,20,,32,10240,1,,PSR_B1929+10,10d59m32.28s,19h32m13.848s,6,0.0003495253333333333,58784.02509259259,0.0,spliced_blc40414243444546o7o0515253545556o7o061626364656667_guppi_58784_02168_PSR_B1929+10_0099.gpuspec.0001.fil
537,537,537,0.0,1,11251.464842353014,-2.7939677238464355e-06,,20,,32,1342177280,1,,PSR_B1929+10,10d59m32.28s,19h32m13.848s,6,18.253611008,58784.02509259259,0.0,spliced_blc40414243444546o7o0515253545556o7o061626364656667_guppi_58784_02168_PSR_B1929+10_0099.gpuspec.0000.fil
460,460,460,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,PSR_B1133+16,15d51m03.96s,11h36m03.144s,6,0.0003495253333333333,58783.71438657407,0.0,spliced_blc40414243444546o7o0515253545556o7o061626364656667_guppi_58783_61723_PSR_B1133+16_0010.gpuspec.8.0001.fil
453,453,453,0.0,1,11251.463413238524,-0.00286102294921875,,20,,32,1310720,1,,PSR_B1133+16,15d51m03.96s,11h36m03.144s,6,1.0737418239999998,58783.71438657407,0.0,spliced_blc40414243444546o7o0515253545556o7o061626364656667_guppi_58783_61723_PSR_B1133+16_0010.gpuspec.0002.fil
441,441,441,0.0,1,11251.464842353014,-2.7939677238464355e-06,,20,,32,1342177280,1,,PSR_B1133+16,15d51m03.96s,11h36m03.144s,6,18.253611008,58783.71438657407,0.0,spliced_blc40414243444546o7o0515253545556o7o061626364656667_guppi_58783_61723_PSR_B1133+16_0010.gpuspec.0000.fil
451,451,451,0.0,1,11251.28173828125,-0.3662109375,,20,,32,10240,1,,PSR_B1133+16,15d51m03.96s,11h36m03.144s,6,0.0003495253333333333,58783.71438657407,0.0,spliced_blc40414243444546o7o0515253545556o7o061626364656667_guppi_58783_61723_PSR_B1133+16_0010.gpuspec.0001.fil
363,363,363,0.0,1,11251.463413238524,-0.00286102294921875,,20,,32,1310720,1,,PSR_B2021+51,51d54m50.04s,20h22m49.824s,6,1.0737418239999998,58779.259305555555,0.0,spliced_blc40414243444546o7o0515253545556o7o061626364656667_guppi_58779_22404_PSR_B2021+51_0035.gpuspec.0002.fil
364,364,364,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,PSR_B2021+51,51d54m50.04s,20h22m49.824s,6,0.0003495253333333333,58779.259305555555,0.0,spliced_blc40414243444546o7o0515253545556o7o061626364656667_guppi_58779_22404_PSR_B2021+51_0035.gpuspec.8.0001.fil
326,326,326,0.0,1,11251.464842353014,-2.7939677238464355e-06,,20,,32,1342177280,1,,PSR_B2021+51,51d54m50.04s,20h22m49.824s,6,18.253611008,58779.259305555555,0.0,spliced_blc40414243444546o7o0515253545556o7o061626364656667_guppi_58779_22404_PSR_B2021+51_0035.gpuspec.0000.fil
361,361,361,0.0,1,11251.28173828125,-0.3662109375,,20,,32,10240,1,,PSR_B2021+51,51d54m50.04s,20h22m49.824s,6,0.0003495253333333333,58779.259305555555,0.0,spliced_blc40414243444546o7o0515253545556o7o061626364656667_guppi_58779_22404_PSR_B2021+51_0035.gpuspec.0001.fil
207,207,207,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,PSR_B0355+54,54d13m12s,3h58m53.64s,6,0.0003495253333333333,58779.163819444446,0.0,spliced_blc40414243444546o7o0515253545556o7o061626364656667_guppi_58779_14154_PSR_B0355+54_0011.gpuspec.8.0001.fil
197,197,197,0.0,1,11251.28173828125,-0.3662109375,,20,,32,10240,1,,PSR_B0355+54,54d13m12s,3h58m53.64s,6,0.0003495253333333333,58779.163819444446,0.0,spliced_blc40414243444546o7o0515253545556o7o061626364656667_guppi_58779_14154_PSR_B0355+54_0011.gpuspec.0001.fil
198,198,198,0.0,1,11251.463413238524,-0.00286102294921875,,20,,32,1310720,1,,PSR_B0355+54,54d13m12s,3h58m53.64s,6,1.0737418239999998,58779.163819444446,0.0,spliced_blc40414243444546o7o0515253545556o7o061626364656667_guppi_58779_14154_PSR_B0355+54_0011.gpuspec.0002.fil
181,181,181,0.0,1,11251.464842353014,-2.7939677238464355e-06,,20,,32,1342177280,1,,PSR_B0355+54,54d13m12s,3h58m53.64s,6,18.253611008,58779.163819444446,0.0,spliced_blc40414243444546o7o0515253545556o7o061626364656667_guppi_58779_14154_PSR_B0355+54_0011.gpuspec.0000.fil
443,443,443,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,PSR_B0355+54,54d13m13.44s,3h58m53.616s,6,1.0737418239999998,58744.150289351855,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58744_12985_PSR_B0355+54_0075.gpuspec.0002.fil
448,448,448,0.0,1,8438.78173828125,-0.3662109375,0.0,10,0.0,8,13312,1,,PSR_B0355+54,54d13m13.44s,3h58m53.616s,6,0.0003495253333333333,58744.150289351855,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58744_12985_PSR_B0355+54_0075.gpuspec.8.0001.fil
426,426,426,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,PSR_B0355+54,54d13m13.44s,3h58m53.616s,6,18.253611008,58744.150289351855,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58744_12985_PSR_B0355+54_0075.gpuspec.0000.fil
442,442,442,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,PSR_B0355+54,54d13m13.44s,3h58m53.616s,6,0.0003495253333333333,58744.150289351855,0.0,spliced_blc40414243444546o7o0515253545556o7o0616263646566o7o071727374757677_guppi_58744_12985_PSR_B0355+54_0075.gpuspec.0001.fil
199,199,199,0.0,1,3151.28173828125,-0.3662109375,,20,,32,4096,1,,PSR_B2021+51,51d54m48.96s,20h22m49.704s,6,0.0003495253333333333,58743.91260416668,0.0,spliced_blc4041424344454647_guppi_58743_78849_PSR_B2021+51_0009.gpuspec.0001.fil
204,204,204,0.0,1,3151.28173828125,-0.3662109375,0.0,10,0.0,8,4096,1,,PSR_B2021+51,51d54m48.96s,20h22m49.704s,6,0.0003495253333333333,58743.91260416668,0.0,spliced_blc4041424344454647_guppi_58743_78849_PSR_B2021+51_0009.gpuspec.8.0001.fil
